REGION,ZONE,FEEDER CODE,SUBSTATION CODE,SUBSTATION,FEEDER,IR,IY,IB,VRY,VYB,VBR,Time,Active Load
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,74.9 A,82.7 A,79.7 A,10.9 kV,10.9 kV,10.8 kV,5/11/2026 1:06,1.53 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,81.9 A,88.2 A,85.6 A,10.9 kV,10.9 kV,10.8 kV,5/11/2026 1:09,1.61 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,81.9 A,88.2 A,85.6 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:12,1.65 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,78.5 A,84.0 A,81.5 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:15,1.50 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,78.5 A,84.0 A,81.5 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:18,1.57 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,74.0 A,79.9 A,77.3 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:21,1.51 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,75.1 A,81.1 A,77.6 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:24,1.47 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,75.1 A,81.1 A,77.6 A,10.8 kV,10.8 kV,10.8 kV,5/11/2026 1:27,1.51 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,77.5 A,84.1 A,80.1 A,10.8 kV,10.9 kV,10.8 kV,5/11/2026 1:30,1.50 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,77.5 A,84.1 A,80.1 A,10.9 kV,10.9 kV,10.8 kV,5/11/2026 1:33,1.40 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,83.4 A,88.9 A,85.7 A,10.8 kV,10.8 kV,10.8 kV,5/11/2026 1:36,1.45 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,73.5 A,79.2 A,77.2 A,10.9 kV,10.9 kV,10.8 kV,5/11/2026 1:39,1.34 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,73.5 A,79.2 A,77.2 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:42,1.46 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,69.4 A,74.5 A,72.2 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:45,1.39 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,69.4 A,74.5 A,72.2 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:48,1.46 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,74.1 A,79.3 A,76.9 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:51,1.43 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,76.1 A,83.5 A,80.1 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:54,1.58 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,76.1 A,83.5 A,80.1 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 1:57,1.52 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,75.2 A,81.5 A,78.3 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 2:00,1.52 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,75.2 A,81.5 A,78.3 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 2:03,1.46 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,86.3 A,92.7 A,91.2 A,10.9 kV,11.0 kV,10.9 kV,5/11/2026 2:06,1.43 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,70.4 A,76.2 A,73.5 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 2:09,1.37 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,70.4 A,76.2 A,73.5 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 2:12,1.46 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,76.7 A,83.4 A,80.1 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 2:15,1.44 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,76.7 A,83.4 A,80.1 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 2:18,1.54 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,74.1 A,80.5 A,76.9 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 2:21,1.56 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,75.7 A,81.6 A,79.4 A,10.9 kV,11.0 kV,10.9 kV,5/11/2026 2:24,1.46 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,75.7 A,81.6 A,79.4 A,11.0 kV,11.0 kV,10.9 kV,5/11/2026 2:27,1.53 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,75.5 A,82.0 A,78.7 A,11.0 kV,11.0 kV,11.0 kV,5/11/2026 2:30,1.50 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,75.5 A,82.0 A,78.7 A,11.0 kV,10.9 kV,11.0 kV,5/11/2026 2:33,1.45 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,77.4 A,82.9 A,80.3 A,10.9 kV,10.9 kV,10.9 kV,5/11/2026 2:36,1.46 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,71.1 A,76.8 A,74.5 A,11.0 kV,11.0 kV,10.9 kV,5/11/2026 2:39,1.52 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,71.1 A,76.8 A,74.5 A,11.0 kV,10.9 kV,10.9 kV,5/11/2026 2:42,1.42 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,79.9 A,81.0 A,80.1 A,11.0 kV,11.0 kV,10.9 kV,5/11/2026 2:45,1.40 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,79.9 A,81.0 A,80.1 A,11.0 kV,11.0 kV,10.9 kV,5/11/2026 2:48,1.54 MW
PUNE,PUNE,EP_FD01,SB01,EMBASSY PARK,11KV LUMAX,85.7 A,86.5 A,86.6 A,11.0 kV,11.0 kV,10.9 kV,5/11/2026 2:51,1.44 MW
