unique_id,ds,y
EMBASSY PARK_11KV LUMAX,2026-11-05 01:06:00,1.53
EMBASSY PARK_11KV LUMAX,2026-11-05 01:09:00,1.61
EMBASSY PARK_11KV LUMAX,2026-11-05 01:12:00,1.65
EMBASSY PARK_11KV LUMAX,2026-11-05 01:15:00,1.5
EMBASSY PARK_11KV LUMAX,2026-11-05 01:18:00,1.57
EMBASSY PARK_11KV LUMAX,2026-11-05 01:21:00,1.51
EMBASSY PARK_11KV LUMAX,2026-11-05 01:24:00,1.47
EMBASSY PARK_11KV LUMAX,2026-11-05 01:27:00,1.51
EMBASSY PARK_11KV LUMAX,2026-11-05 01:30:00,1.5
EMBASSY PARK_11KV LUMAX,2026-11-05 01:33:00,1.4
EMBASSY PARK_11KV LUMAX,2026-11-05 01:36:00,1.45
EMBASSY PARK_11KV LUMAX,2026-11-05 01:39:00,1.34
EMBASSY PARK_11KV LUMAX,2026-11-05 01:42:00,1.46
EMBASSY PARK_11KV LUMAX,2026-11-05 01:45:00,1.39
EMBASSY PARK_11KV LUMAX,2026-11-05 01:48:00,1.46
EMBASSY PARK_11KV LUMAX,2026-11-05 01:51:00,1.43
EMBASSY PARK_11KV LUMAX,2026-11-05 01:54:00,1.58
EMBASSY PARK_11KV LUMAX,2026-11-05 01:57:00,1.52
EMBASSY PARK_11KV LUMAX,2026-11-05 02:00:00,1.52
EMBASSY PARK_11KV LUMAX,2026-11-05 02:03:00,1.46
EMBASSY PARK_11KV LUMAX,2026-11-05 02:06:00,1.43
EMBASSY PARK_11KV LUMAX,2026-11-05 02:09:00,1.37
EMBASSY PARK_11KV LUMAX,2026-11-05 02:12:00,1.46
EMBASSY PARK_11KV LUMAX,2026-11-05 02:15:00,1.44
EMBASSY PARK_11KV LUMAX,2026-11-05 02:18:00,1.54
EMBASSY PARK_11KV LUMAX,2026-11-05 02:21:00,1.56
EMBASSY PARK_11KV LUMAX,2026-11-05 02:24:00,1.46
EMBASSY PARK_11KV LUMAX,2026-11-05 02:27:00,1.53
EMBASSY PARK_11KV LUMAX,2026-11-05 02:30:00,1.5
EMBASSY PARK_11KV LUMAX,2026-11-05 02:33:00,1.45
EMBASSY PARK_11KV LUMAX,2026-11-05 02:36:00,1.46
EMBASSY PARK_11KV LUMAX,2026-11-05 02:39:00,1.52
EMBASSY PARK_11KV LUMAX,2026-11-05 02:42:00,1.42
EMBASSY PARK_11KV LUMAX,2026-11-05 02:45:00,1.4
EMBASSY PARK_11KV LUMAX,2026-11-05 02:48:00,1.54
