unique_id,ds,y,IR,IY,IB,VRY,VYB,VBR,hour,day
,2026-11-05 01:06:00,1.53,74.9,82.7,79.7,10.9,10.9,10.8,1,3
,2026-11-05 01:06:00,2.22,109.0,104.0,108.0,10.8,10.8,10.8,1,3
,2026-11-05 01:06:00,1.42,75.7,73.5,79.0,10.9,10.9,10.9,1,3
,2026-11-05 01:06:00,1.49,82.9,81.7,79.5,10.8,10.7,10.8,1,3
,2026-11-05 01:06:00,269.0,15.1,16.0,14.6,11.2,11.2,11.2,1,3
,2026-11-05 01:09:00,1.45,80.4,78.7,77.0,10.8,10.7,10.8,1,3
,2026-11-05 01:09:00,260.0,14.2,15.0,13.9,11.2,11.2,11.2,1,3
,2026-11-05 01:09:00,2.21,111.0,105.0,110.0,10.8,10.7,10.8,1,3
,2026-11-05 01:09:00,1.61,81.9,88.2,85.6,10.9,10.9,10.8,1,3
,2026-11-05 01:09:00,1.42,76.1,73.2,78.8,10.9,10.8,10.9,1,3
,2026-11-05 01:12:00,1.65,81.9,88.2,85.6,10.9,10.9,10.9,1,3
,2026-11-05 01:12:00,1.42,77.0,74.5,78.6,10.9,10.9,10.9,1,3
,2026-11-05 01:12:00,2.21,111.0,105.0,110.0,10.8,10.8,10.8,1,3
,2026-11-05 01:12:00,258.0,14.2,15.0,13.9,11.2,11.2,11.2,1,3
,2026-11-05 01:12:00,1.5,81.2,80.3,79.0,10.8,10.7,10.8,1,3
,2026-11-05 01:15:00,1.55,83.0,83.6,82.5,10.8,10.7,10.8,1,3
,2026-11-05 01:15:00,1.4,74.5,73.0,78.0,10.9,10.8,10.9,1,3
,2026-11-05 01:15:00,2.19,112.0,106.0,110.0,10.8,10.8,10.8,1,3
,2026-11-05 01:15:00,1.5,78.5,84.0,81.5,10.9,10.9,10.9,1,3
,2026-11-05 01:15:00,257.0,13.9,14.7,13.3,11.2,11.2,11.2,1,3
,2026-11-05 01:18:00,259.0,13.9,14.7,13.3,11.2,11.2,11.2,1,3
,2026-11-05 01:18:00,1.51,81.9,80.5,79.6,10.8,10.8,10.8,1,3
,2026-11-05 01:18:00,2.2,112.0,105.0,111.0,10.8,10.8,10.9,1,3
,2026-11-05 01:18:00,1.57,78.5,84.0,81.5,10.9,10.9,10.9,1,3
,2026-11-05 01:18:00,1.41,76.0,73.3,78.3,10.9,10.9,10.9,1,3
