unique_id,ds,y
EMBASSY PARK_11KV LUMAX,2026-05-11 01:06:00,1.53
EMBASSY PARK_11KV LUMAX,2026-05-11 01:09:00,1.61
EMBASSY PARK_11KV LUMAX,2026-05-11 01:12:00,1.65
EMBASSY PARK_11KV LUMAX,2026-05-11 01:15:00,1.5
EMBASSY PARK_11KV LUMAX,2026-05-11 01:18:00,1.57
EMBASSY PARK_11KV LUMAX,2026-05-11 01:21:00,1.51
EMBASSY PARK_11KV LUMAX,2026-05-11 01:24:00,1.47
EMBASSY PARK_11KV LUMAX,2026-05-11 01:27:00,1.51
EMBASSY PARK_11KV LUMAX,2026-05-11 01:30:00,1.5
EMBASSY PARK_11KV LUMAX,2026-05-11 01:33:00,1.4
EMBASSY PARK_11KV LUMAX,2026-05-11 01:36:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 01:39:00,1.34
EMBASSY PARK_11KV LUMAX,2026-05-11 01:42:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 01:45:00,1.39
EMBASSY PARK_11KV LUMAX,2026-05-11 01:48:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 01:51:00,1.43
EMBASSY PARK_11KV LUMAX,2026-05-11 01:54:00,1.58
EMBASSY PARK_11KV LUMAX,2026-05-11 01:57:00,1.52
EMBASSY PARK_11KV LUMAX,2026-05-11 02:00:00,1.52
EMBASSY PARK_11KV LUMAX,2026-05-11 02:03:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 02:06:00,1.43
EMBASSY PARK_11KV LUMAX,2026-05-11 02:09:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 02:12:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 02:15:00,1.44
EMBASSY PARK_11KV LUMAX,2026-05-11 02:18:00,1.54
EMBASSY PARK_11KV LUMAX,2026-05-11 02:21:00,1.56
EMBASSY PARK_11KV LUMAX,2026-05-11 02:24:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 02:27:00,1.53
EMBASSY PARK_11KV LUMAX,2026-05-11 02:30:00,1.5
EMBASSY PARK_11KV LUMAX,2026-05-11 02:33:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 02:36:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 02:39:00,1.52
EMBASSY PARK_11KV LUMAX,2026-05-11 02:42:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 02:45:00,1.4
EMBASSY PARK_11KV LUMAX,2026-05-11 02:48:00,1.54
EMBASSY PARK_11KV LUMAX,2026-05-11 02:51:00,1.44
EMBASSY PARK_11KV LUMAX,2026-05-11 02:54:00,1.55
EMBASSY PARK_11KV LUMAX,2026-05-11 02:57:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 03:00:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 03:03:00,1.5
EMBASSY PARK_11KV LUMAX,2026-05-11 03:06:00,1.44
EMBASSY PARK_11KV LUMAX,2026-05-11 03:09:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 03:12:00,1.43
EMBASSY PARK_11KV LUMAX,2026-05-11 03:15:00,1.52
EMBASSY PARK_11KV LUMAX,2026-05-11 03:18:00,1.46
EMBASSY PARK_11KV LUMAX,2026-05-11 03:21:00,1.55
EMBASSY PARK_11KV LUMAX,2026-05-11 03:24:00,1.61
EMBASSY PARK_11KV LUMAX,2026-05-11 03:27:00,1.49
EMBASSY PARK_11KV LUMAX,2026-05-11 03:30:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 03:33:00,1.53
EMBASSY PARK_11KV LUMAX,2026-05-11 03:36:00,1.5
EMBASSY PARK_11KV LUMAX,2026-05-11 03:39:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 03:42:00,1.51
EMBASSY PARK_11KV LUMAX,2026-05-11 03:45:00,1.47
EMBASSY PARK_11KV LUMAX,2026-05-11 03:48:00,1.62
EMBASSY PARK_11KV LUMAX,2026-05-11 03:51:00,1.47
EMBASSY PARK_11KV LUMAX,2026-05-11 03:54:00,1.61
EMBASSY PARK_11KV LUMAX,2026-05-11 03:57:00,1.64
EMBASSY PARK_11KV LUMAX,2026-05-11 04:00:00,1.58
EMBASSY PARK_11KV LUMAX,2026-05-11 04:03:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 04:06:00,1.51
EMBASSY PARK_11KV LUMAX,2026-05-11 04:09:00,1.52
EMBASSY PARK_11KV LUMAX,2026-05-11 04:12:00,1.58
EMBASSY PARK_11KV LUMAX,2026-05-11 04:15:00,1.53
EMBASSY PARK_11KV LUMAX,2026-05-11 04:18:00,1.48
EMBASSY PARK_11KV LUMAX,2026-05-11 04:21:00,1.47
EMBASSY PARK_11KV LUMAX,2026-05-11 04:24:00,1.4
EMBASSY PARK_11KV LUMAX,2026-05-11 04:27:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 04:30:00,1.53
EMBASSY PARK_11KV LUMAX,2026-05-11 04:33:00,1.51
EMBASSY PARK_11KV LUMAX,2026-05-11 04:36:00,1.49
EMBASSY PARK_11KV LUMAX,2026-05-11 04:39:00,1.53
EMBASSY PARK_11KV LUMAX,2026-05-11 04:42:00,1.4
EMBASSY PARK_11KV LUMAX,2026-05-11 04:45:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 04:48:00,1.49
EMBASSY PARK_11KV LUMAX,2026-05-11 04:51:00,1.74
EMBASSY PARK_11KV LUMAX,2026-05-11 04:54:00,1.78
EMBASSY PARK_11KV LUMAX,2026-05-11 04:57:00,1.96
EMBASSY PARK_11KV LUMAX,2026-05-11 05:00:00,1.74
EMBASSY PARK_11KV LUMAX,2026-05-11 05:03:00,1.9
EMBASSY PARK_11KV LUMAX,2026-05-11 05:06:00,2.05
EMBASSY PARK_11KV LUMAX,2026-05-11 05:09:00,2.03
EMBASSY PARK_11KV LUMAX,2026-05-11 05:12:00,2.1
EMBASSY PARK_11KV LUMAX,2026-05-11 05:15:00,2.01
EMBASSY PARK_11KV LUMAX,2026-05-11 05:18:00,2.1
EMBASSY PARK_11KV LUMAX,2026-05-11 05:21:00,1.88
EMBASSY PARK_11KV LUMAX,2026-05-11 05:24:00,1.97
EMBASSY PARK_11KV LUMAX,2026-05-11 05:27:00,1.75
EMBASSY PARK_11KV LUMAX,2026-05-11 05:30:00,1.83
EMBASSY PARK_11KV LUMAX,2026-05-11 05:33:00,1.79
EMBASSY PARK_11KV LUMAX,2026-05-11 05:36:00,1.83
EMBASSY PARK_11KV LUMAX,2026-05-11 05:39:00,1.74
EMBASSY PARK_11KV LUMAX,2026-05-11 05:42:00,1.84
EMBASSY PARK_11KV LUMAX,2026-05-11 05:45:00,1.66
EMBASSY PARK_11KV LUMAX,2026-05-11 05:48:00,1.64
EMBASSY PARK_11KV LUMAX,2026-05-11 05:51:00,1.72
EMBASSY PARK_11KV LUMAX,2026-05-11 05:54:00,1.69
EMBASSY PARK_11KV LUMAX,2026-05-11 05:57:00,1.6
EMBASSY PARK_11KV LUMAX,2026-05-11 06:00:00,1.73
EMBASSY PARK_11KV LUMAX,2026-05-11 06:03:00,1.64
EMBASSY PARK_11KV LUMAX,2026-05-11 06:06:00,1.65
EMBASSY PARK_11KV LUMAX,2026-05-11 06:09:00,1.69
EMBASSY PARK_11KV LUMAX,2026-05-11 06:12:00,1.57
EMBASSY PARK_11KV LUMAX,2026-05-11 06:15:00,1.61
EMBASSY PARK_11KV LUMAX,2026-05-11 06:18:00,1.75
