unique_id,ds,PatchTST
EMBASSY PARK_11KV LUMAX,2026-12-05 02:06:00,1.8499643
EMBASSY PARK_11KV LUMAX,2026-12-05 02:09:00,1.7981949
EMBASSY PARK_11KV LUMAX,2026-12-05 02:12:00,1.8765571
EMBASSY PARK_11KV LUMAX,2026-12-05 02:15:00,1.7946758
EMBASSY PARK_11KV LUMAX,2026-12-05 02:18:00,1.8653842
EMBASSY PARK_11KV LUMAX,2026-12-05 02:21:00,1.7504013
EMBASSY PARK_RMU1,2026-12-05 02:09:00,8.017227
EMBASSY PARK_RMU1,2026-12-05 02:12:00,-3.8659515
EMBASSY PARK_RMU1,2026-12-05 02:15:00,5.840637
EMBASSY PARK_RMU1,2026-12-05 02:18:00,-1.0770416
EMBASSY PARK_RMU1,2026-12-05 02:21:00,3.0549011
EMBASSY PARK_RMU1,2026-12-05 02:24:00,-10.394409
MALWADI SUB STN_11KV BHOSALE NAGAR,2026-12-05 02:12:00,0.02660942
MALWADI SUB STN_11KV BHOSALE NAGAR,2026-12-05 02:15:00,-1.2798648
MALWADI SUB STN_11KV BHOSALE NAGAR,2026-12-05 02:18:00,-0.5774231
MALWADI SUB STN_11KV BHOSALE NAGAR,2026-12-05 02:21:00,-2.5856037
MALWADI SUB STN_11KV BHOSALE NAGAR,2026-12-05 02:24:00,-0.6355109
MALWADI SUB STN_11KV BHOSALE NAGAR,2026-12-05 02:27:00,-2.7233772
MALWADI SUB STN_11KV KUBERA,2026-11-06 00:00:00,1.3816643
MALWADI SUB STN_11KV KUBERA,2026-11-06 00:03:00,-3.9031029
MALWADI SUB STN_11KV KUBERA,2026-11-06 00:06:00,0.10864067
MALWADI SUB STN_11KV KUBERA,2026-11-06 00:09:00,-3.6279545
MALWADI SUB STN_11KV KUBERA,2026-11-06 00:12:00,0.58877563
MALWADI SUB STN_11KV KUBERA,2026-11-06 00:15:00,-3.306881
